"Site","Year","Month","Day","dd","ff","tmin","t","tmax","td","p0","p","rrr","ewm","um","sshn","radglo24","evt","ewsm","nm","umax","umin","tsoil_m"
"40736",1959,1,1,173.75,2,4,6.38,9,5.62,1023.5,1021.29,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,2,150,1.75,4,3.23,6,2.59,1032.62,1030.22,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,3,11.25,0.25,-1,3.9,11,0.1,1025.38,1023.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,4,0,0,-1,3.12,9,1.32,1023.5,1021.19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,5,11.25,0.12,0,4.5,10,2.06,1023.88,1021.58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,6,6.25,0.25,1,6.4,13,4.2,1020.88,1018.91,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,7,12.5,0.38,2,7.22,15,5.17,1019.88,1017.52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,8,77.5,0.25,2,6.88,14,5.79,1018.38,1016.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,9,143.75,1,5,9.57,12,8,1020.75,1018.42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,10,51.25,0.25,9,9.53,14,6.85,1021.38,1019.36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,11,0,0,3,7.95,12,6.74,1020.75,1018.69,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,12,0,0,8,8.32,11,6.03,1020,1017.74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,13,0,0,5,8.5,12,7.12,1029.38,1027.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,14,22.5,0.62,4,7.58,12,6.06,1020.75,1018.67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,15,0,0,4,8.18,13,6.64,1017.62,1015.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,16,22.5,0.5,7,8.6,11,7.2,1019.75,1017.34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,17,12.5,0.25,7,9.95,15,7.65,1023.62,1021.51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,18,6.25,0.12,2,7.55,17,5.56,1013.75,1011.61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,19,67.5,0.5,3,9.2,14,7.59,1013.88,1011.89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40736",1959,1,20,117.5,0.75,8,9.12,11,8.53,1023.38,1021.23,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
