"Site","Year","Month","Day","dd","ff","tmin","t","tmax","td","p0","p","rrr","ewm","um","sshn","radglo24","evt","ewsm","nm","umax","umin","tsoil_m"
"40718",1959,1,1,240,2.25,7,7.04,11,5.71,1024.12,1021.69,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,2,203.75,1.12,4,4.89,8,3.26,1030.88,1028.42,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,3,253.75,1.38,0,5.74,12,4.1,1024.25,1021.61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,4,262.5,1.12,1,7.49,10,5.86,1022.38,1019.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,5,161.25,1,5,7.66,11,6.03,1022.88,1020.18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,6,267.5,1,4,8.12,13,7.1,1020.5,1017.88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,7,272.5,1,4,8.32,11,8.07,1019.12,1016.74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,8,147.5,1,6,9.4,11,8.51,1018.25,1015.92,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,9,216.25,1,8,9.72,11,8.93,1020.5,1017.89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,10,176.25,1,5,8.79,13,8.04,1021,1018.49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,11,168.75,1,5,9.78,12,7.97,1019.88,1017.46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,12,213.75,1,8,9.61,12,7.61,1019,1016.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,13,292.5,1.88,7,8.5,11,7.54,1028.88,1026.51,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,14,192.5,1,5,7.88,10,7.01,1020.38,1017.77,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,15,187.5,1.5,5,8.56,12,7.69,1017.12,1014.89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,16,270,1,5,9.19,13,8.03,1019,1016.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,17,160,1.5,6,9.04,13,7.3,1022.25,1020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,18,225,1,6,8.43,12,7.2,1013.38,1011.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40718",1959,1,19,123.75,1.62,5,9.28,11,8.49,1014.5,1012.01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
