"Site","Year","Month","Day","dd","ff","tmin","t","tmax","td","p0","p","rrr","ewm","um","sshn","radglo24","evt","ewsm","nm","umax","umin","tsoil_m"
"40732",1959,1,1,230,3.2,5,7.36,11,5.68,1022,1019.75,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,2,148,2.6,3,5.08,9,2.92,1031.8,1028.3,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,3,134,1.8,1,5.7,11,-0.72,1023,1020.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,4,30,1,1,7,11,2.44,1020.4,1017.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,5,170,2.8,2,7.56,11,3.62,1023.8,1019.35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,6,78,1.4,2,8.26,13,4.72,1018.6,1016.55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,7,104,1.4,2,10.02,14,7.04,1017.8,1016.65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,8,222,2,6,8,10,7.62,1016.6,1014.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,9,182,2,7,10.52,13,8.28,1018.8,1016.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,10,78,1.6,6,10.16,14,8.2,1019.4,1017.45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,11,170,2.6,8,10.22,12,7.2,1019.4,1017.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,12,158,3.6,6,10.34,12,6.54,1017.2,1015.45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,13,274,3.4,5,9.14,11,7.82,1029.6,1026.1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,14,106,3.6,4,9.86,12,6.84,1018.4,1016.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,15,110,1.6,3,10.2,14,7.36,1016,1013.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,16,102,2.8,8,10.7,12,7.7,1017.4,1015.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,17,86,1.8,5,10.78,16,7.38,1023.2,1020.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,18,44,0.8,5,10.1,13,6.18,1015,1012.85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40732",1959,1,19,306,2.6,3,9.38,14,7.76,1013.2,1010.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
