"Site","Year","Month","Day","dd","ff","tmin","t","tmax","td","p0","p","rrr","ewm","um","sshn","radglo24","evt","ewsm","nm","umax","umin","tsoil_m"
"40719",1959,1,1,192,1,5,6.88,10,6.34,1021.4,1020.45,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,2,194,2,4,4.46,9,2.9,1031.4,1029.7,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,3,196,1.2,-3,5.04,11,3.14,1022.8,1021.55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,4,120,0.4,3,7.44,12,4.02,1018.6,1016.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,5,94,0.6,1,8.16,13,5.2,1020.6,1019.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,6,124,0.4,0,8.24,13,6.22,1017.4,1017.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,7,282,1.4,1,7.16,10,6.9,1016.8,1015.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,8,232,1.4,5,8.36,10,7.5,1016,1015.55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,9,268,1.4,7,10.12,12,8.66,1018.2,1017.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,10,294,1.2,3,8.68,15,7.26,1018.6,1017.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,11,230,1,2,9.4,13,7.76,1017.8,1016.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,12,118,0.8,5,8.8,13,6.26,1015.8,1015.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,13,170,1,4,7.68,11,7.42,1027.2,1023.15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,14,172,1,4,8.32,11,6.52,1017.8,1017.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,15,220,1.4,2,8.12,12,6.4,1015.2,1013.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40719",1959,1,16,222,1.6,1,8.84,13,7.36,1015.6,1015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
