region_id,region_name,station_id,station_name,tm,tmax,tmin,rrr24,lat,lon,station_elevation,DT,Cluster,station_name_fa
MASA,Mazandaran,40736,Babolsar,18.37,21.91,14.84,817.13,36.7,52.64,-21.0,7.08,1,بابلسر
MASA,Mazandaran,40737,Gharakhil,17.76,22.64,12.89,651.26,36.49,52.11,14.7,9.75,1,قراخیل
MASA,Mazandaran,40759,Sari,18.58,23.36,13.81,698.64,36.54,53.0,23.0,9.55,1,ساری
MASA,Mazandaran,40788,Sari (Dasht-E-Naz Airport),17.99,22.94,13.03,580.52,36.64,53.2,16.7,9.9,1,فرودگاه ساری
MASA,Mazandaran,99299,Galugah,17.86,22.87,12.83,537.93,36.74,53.84,-10.0,10.04,1,گلوگاه
MASA,Mazandaran,99306,Bandar-E-Amirabad,17.98,21.78,14.18,584.48,36.86,53.39,-20.0,7.6,1,بندر امیرآباد
MASA,Mazandaran,99309,Amol,17.91,22.54,13.29,634.29,36.48,52.47,23.7,9.25,1,آمل
MASA,Mazandaran,99360,Polsefid,15.65,20.55,10.75,541.85,36.1,53.06,610.0,9.81,1,پل سفید
MASA,Mazandaran,40735,Siahbisheh,11.32,15.91,6.74,503.59,36.23,51.3,1855.4,9.17,2,سیاه بیشه
MASA,Mazandaran,40760,Kiyasar,13.66,18.75,8.58,503.59,36.25,53.55,1294.3,10.17,2,کیاسر
MASA,Mazandaran,99348,Kojur,12.14,18.2,6.08,298.71,36.39,51.73,1550.0,12.12,2,کجور
MASA,Mazandaran,99357,Baladeh,9.85,16.63,3.06,285.9,36.2,51.8,2120.0,13.56,2,بلده
MASA,Mazandaran,99361,Alasht,11.44,15.76,7.15,503.07,36.07,52.84,1805.0,8.61,2,آلاشت
MASA,Mazandaran,40732,Ramsar,17.44,20.55,14.33,1198.31,36.9,50.68,-20.0,6.22,3,رامسر
MASA,Mazandaran,40734,Nowshahr,17.26,20.67,13.85,1254.83,36.66,51.47,-20.9,6.82,3,نوشهر
