iter	MultiClass
0	1.722195199
1	1.574290112
2	1.458923318
3	1.35470803844	1.27347378955	1.20266639
6	1.143090867
7	1.095037139
88	1.04249861599	0.9996356101010	0.9608917011	0.9355160244
12	0.9080742794
13	0.8785302027
14	0.8551348917
15	0.832399396
16	0.8127533739
17	0.7898852569
18	0.7709887548
19	0.7517688489
20	0.7331093159
221	0.7138734012222	0.7011964124223	0.6896397346
24	0.677070081
25	0.6635051249
26	0.6526863806
27	0.6399232849
28	0.6295889108
29	0.6192956144
30	0.6104801238
31	0.6005234368
32	0.5906039375
33	0.5857149305
34	0.5783427607
35	0.570312975
36	0.5635069654
37	0.5574762382
38	0.5510091256
39	0.5455922025
40	0.5389133923441	0.5353576237
42	0.5285205264
43	0.5211826144	44	0.514327745	045	0.508145946	046	0.502389047	0.4943275929
48	0.4883939133
49	0.4843174773
50	0.4807397246
51	0.4765618741
52	0.4715699439
53	0.4673920653
54	0.4638419201
55	0.4599518564
56	0.4546485113
57	0.4506316077
58	0.4461367535
59	0.4428375953
60	0.4370140753
61	0.4333593287
62	0.4298097496
63	0.4263946536
64	0.4232224807
65	0.4199374487
66	0.4164887894
67	0.4128236069
68	0.4092728841
69	0.4071287439
70	0.4043775649
71	0.4010396899
72	0.3981075706
73	0.3959910803
74	0.3924110831
75	0.3904106122
76	0.3872782336
77	0.3850539128
78	0.3825681344
79	0.3802089887
80	0.3781895975
81	0.3760252392
82	0.3741017169
83	0.3713338031
84	0.3677741778
85	0.365929499
86	0.3635271656
87	0.3606259994
88	0.3583938437
89	0.3564164618
90	0.3541023651
91	0.3518941687
92	0.3506270427
93	0.3476316522
94	0.3456029472
95	0.3431436402
96	0.3411035399
97	0.3401381934
98	0.3379144197
99	0.3361907516
100	0.3341231781
101	0.3322820461
102	0.3297731138
103	0.3278224187
104	0.3266452593
105	0.3246941624
106	0.3226398711
107	0.3202504849
108	0.3181458409
109	0.316026458
110	0.3137983179
111	0.3124562307
112	0.3105217761
113	0.3088885962
114	0.3067012531
115	0.3044556282
116	0.302291536
117	0.3009184193
118	0.2992040655
119	0.2979351492
120	0.2967397955
121	0.2953577623
122	0.2939546979
123	0.2918099929
124	0.2900205326
125	0.2886632962
126	0.2872504769
127	0.2862949501
128	0.2852724003
129	0.2838091081
130	0.2823364265
131	0.280009221
132	0.2788484836
133	0.2775873315
134	0.2763914343
135	0.2750759132
136	0.2735007781
137	0.2724742097
138	0.2708666939
139	0.2700103675
140	0.268374386
141	0.2675767899
142	0.2664031866
143	0.265498752
144	0.2639079188
145	0.2626799122
146	0.2614003087
147	0.260050713
148	0.2590869323
149	0.2574212009
150	0.2562810809
151	0.2548792483
152	0.2537233644
153	0.2525930786
154	0.2511873466
155	0.2501383301
156	0.2491539237
157	0.2479836958
158	0.2468087787
159	0.2456834744
160	0.2446179593
161	0.243595033
162	0.242091253
163	0.2411844787
164	0.2400231056
165	0.2394789995
166	0.2386304043
167	0.2374333981
168	0.2366012217
169	0.2356999104
170	0.2348603181
171	0.2336670647
172	0.2328805488
173	0.2316215736
174	0.2306395477
175	0.2299807846
176	0.2291819782
177	0.2282569662
178	0.2275515095
179	0.2269782352
180	0.22594884
181	0.225459724
182	0.2248550577
183	0.2234242111
184	0.2220076837
185	0.2213955638
186	0.2199676429
187	0.2190695154
188	0.2181028746
189	0.2172763711
190	0.2163592431
191	0.2157321397
192	0.2149389486
193	0.2139726024
194	0.2128834613
195	0.2120637813
196	0.2111831276
197	0.210101536
198	0.2090771154
199	0.2088467791
200	0.2081767208
201	0.2076090353
202	0.2068883823
203	0.2059399668
204	0.2052547829
205	0.2048135575
206	0.20427403
207	0.2036721364
208	0.2030715919
209	0.2025664891
210	0.2018298645
211	0.201366195
212	0.2001728645
213	0.1992907155
214	0.1984051908
215	0.1979190241
216	0.1972095927
217	0.196941184
218	0.1961006958
219	0.195527421
220	0.1948021547
221	0.1938039158
222	0.1930168357
223	0.1924197061
224	0.1916854067
225	0.1910388853
226	0.1903071088
227	0.1898175152
228	0.1889894894
229	0.1883479084
230	0.1878087626
231	0.1871829734
232	0.1865579951
233	0.1857070379
234	0.1849440048
235	0.1842194641
236	0.1835703778
237	0.1831700307
238	0.1827618843
239	0.1822321225
240	0.1815233976
241	0.1808173582
242	0.1801444348
243	0.1792894118
244	0.1788444646
245	0.1780703468
246	0.177411617
247	0.1767392013
248	0.1761978628
249	0.1755044298
250	0.1749486239
251	0.1743629362
252	0.1736973495
253	0.1731884005
254	0.1724782576
255	0.1719270956
256	0.1712953007
257	0.1707798935
258	0.1702145723
259	0.1699537487
260	0.1696856129
261	0.1693449788
262	0.1687292486
263	0.168254022
264	0.16760535
265	0.1670841801
266	0.1665077638
267	0.1659148911
268	0.1651751497
269	0.1645434329
270	0.1638841377
271	0.1634393393
272	0.1631003867
273	0.1627233175
274	0.1621288337
275	0.1614864272
276	0.1610077378
277	0.1604780273
278	0.1599953523
279	0.1595644011
280	0.1590165559
