iter	Passed	Remaining
0	67	33512
1	84	20936
2	100	16694
3	117	14598
4	137	13627
5	159	13162
6	181	12803
7	199	12245
8	214	11722
9	228	11219
10	245	10924
11	263	10707
12	282	10587
13	301	10482
14	324	10501
15	344	10408
16	361	10283
17	380	10198
18	401	10164
19	420	10083
20	438	9994
21	455	9899
22	476	9884
23	494	9801
24	511	9724
25	528	9629
26	549	9627
27	569	9599
28	590	9588
29	607	9521
30	622	9418
31	640	9367
32	656	9295
33	675	9254
34	692	9195
35	710	9160
36	734	9191
37	755	9186
38	774	9158
39	794	9140
40	813	9112
41	839	9149
42	858	9124
43	874	9063
44	896	9067
45	919	9071
46	939	9054
47	958	9023
48	977	8997
49	996	8971
50	1012	8917
51	1033	8903
52	1056	8908
53	1083	8948
54	1105	8944
55	1144	9076
56	1180	9174
57	1217	9280
58	1252	9359
59	1281	9394
60	1307	9412
61	1337	9449
62	1374	9536
63	1410	9607
64	1455	9742
65	1483	9755
66	1516	9800
67	1552	9862
68	1586	9908
69	1619	9947
70	1652	9984
71	1680	9988
72	1709	10001
73	1731	9967
74	1748	9910
75	1770	9878
76	1798	9879
77	1822	9859
78	1847	9847
79	1869	9815
80	1885	9755
81	1904	9708
82	1926	9681
83	1945	9635
84	1971	9623
85	1992	9592
86	2014	9564
87	2035	9529
88	2055	9494
89	2081	9482
90	2107	9471
91	2124	9422
92	2142	9378
93	2164	9348
94	2181	9300
95	2199	9255
96	2222	9234
97	2242	9198
98	2262	9163
99	2284	9139
100	2303	9098
101	2321	9057
102	2340	9019
103	2362	8994
104	2382	8962
105	2400	8923
106	2419	8886
107	2436	8845
108	2454	8804
109	2478	8785
110	2503	8773
111	2525	8748
112	2540	8701
113	2560	8668
114	2579	8637
115	2598	8601
116	2620	8578
117	2641	8552
118	2663	8527
119	2679	8485
120	2698	8451
121	2719	8427
122	2738	8394
123	2757	8360
124	2780	8342
125	2805	8326
126	2827	8303
127	2847	8274
128	2868	8248
129	2889	8223
130	2912	8203
131	2933	8177
132	2956	8158
133	2977	8133
134	2998	8106
135	3017	8075
136	3037	8048
137	3057	8019
138	3076	7990
139	3101	7975
140	3127	7962
141	3151	7945
142	3174	7924
143	3192	7893
144	3210	7860
145	3227	7825
146	3242	7787
147	3260	7753
148	3278	7722
149	3301	7702
150	3326	7687
151	3344	7656
152	3363	7627
153	3383	7600
154	3397	7561
155	3414	7529
156	3432	7498
157	3449	7466
158	3467	7436
159	3483	7402
160	3498	7367
161	3514	7333
162	3531	7302
163	3551	7277
164	3569	7247
165	3584	7212
166	3601	7180
167	3620	7154
168	3646	7142
169	3671	7126
170	3702	7123
171	3725	7104
172	3752	7093
173	3777	7077
174	3805	7066
175	3831	7053
176	3860	7045
177	3878	7015
178	3899	6992
179	3918	6966
180	3935	6936
181	3954	6909
182	3980	6895
183	3999	6868
184	4013	6834
185	4034	6810
186	4052	6783
187	4069	6754
188	4095	6738
189	4111	6707
190	4127	6678
191	4144	6647
192	4157	6612
193	4171	6579
194	4188	6550
195	4208	6527
196	4226	6501
197	4243	6472
198	4260	6443
199	4278	6417
200	4298	6394
201	4317	6368
202	4335	6342
203	4355	6319
204	4374	6295
205	4395	6272
206	4422	6259
207	4442	6237
208	4465	6217
209	4487	6196
210	4505	6171
211	4528	6152
212	4546	6125
213	4566	6103
214	4593	6088
215	4620	6074
216	4649	6063
217	4670	6041
218	4692	6021
219	4722	6011
220	4741	5986
221	4760	5961
222	4776	5932
223	4799	5913
224	4817	5888
225	4839	5867
226	4861	5847
227	4883	5826
228	4908	5808
229	4931	5788
230	4952	5767
231	4972	5744
232	4991	5719
233	5016	5702
234	5037	5680
235	5061	5662
236	5081	5638
237	5103	5617
238	5131	5604
239	5153	5582
240	5173	5560
241	5196	5539
242	5215	5516
243	5232	5490
244	5252	5466
245	5294	5466
246	5344	5474
247	5391	5478
248	5438	5482
249	5488	5488
250	5510	5466
251	5536	5448
252	5580	5448
253	5610	5433
254	5639	5417
255	5668	5402
256	5690	5380
257	5712	5358
258	5735	5337
259	5753	5310
260	5783	5295
261	5801	5270
262	5818	5243
263	5836	5217
264	5859	5196
265	5882	5175
266	5899	5148
267	5916	5121
268	5934	5096
269	5952	5070
270	5969	5044
271	5987	5018
272	6008	4995
273	6036	4979
274	6062	4960
275	6087	4940
276	6112	4920
277	6133	4898
278	6165	4883
279	6192	4865
280	6218	4846
281	6241	4825
282	6261	4801
283	6290	4784
284	6311	4761
285	6334	4740
286	6354	4715
287	6379	4695
288	6410	4680
289	6436	4660
290	6460	4640
291	6483	4618
292	6500	4592
293	6533	4577
294	6559	4558
295	6585	4538
296	6618	4523
297	6643	4503
298	6661	4478
299	6687	4458
300	6715	4439
301	6737	4416
302	6760	4395
303	6784	4374
304	6814	4357
305	6867	4353
306	6904	4340
307	6932	4321
308	6962	4303
309	6999	4289
310	7043	4280
311	7090	4272
312	7151	4272
313	7190	4259
314	7223	4242
315	7250	4222
316	7289	4208
317	7328	4194
318	7367	4180
319	7405	4165
320	7425	4140
321	7451	4119
322	7471	4094
323	7490	4068
324	7512	4045
325	7535	4021
326	7554	3996
327	7580	3975
328	7602	3951
329	7629	3930
330	7660	3911
331	7698	3895
