,precision,recall,f1-score,support
ED,0.25,0.23076923076923078,0.24,13.0
EW,0.0,0.0,0.0,4.0
MD,0.25,0.34375,0.2894736842105263,64.0
MW,0.32954545454545453,0.453125,0.3815789473684211,64.0
NN,0.7987220447284346,0.6527415143603134,0.7183908045977011,383.0
SD,0.21052631578947367,0.32432432432432434,0.2553191489361702,37.0
VW,0.2916666666666667,0.28,0.2857142857142857,25.0
accuracy,0.5474576271186441,0.5474576271186441,0.5474576271186441,0.5474576271186441
macro avg,0.3043514973900042,0.3263871527791241,0.310068124403872,590.0
weighted avg,0.6124281230047063,0.5474576271186441,0.5725435800601145,590.0
