feature,importance_mean,importance_std
MOD16A2GF,0.1283417949925789,0.007947566419781225
GPM,0.06947248424086475,0.01290422618822887
month_cos,0.046613502554279096,0.009684058143926848
GPM_SPEI_1,0.04461907966564225,0.01092990467942123
lat,0.04157341851062775,0.0101577615451199
VHI_Day,0.02841185520195233,0.011289366904172059
station_elevation,0.027107030768027285,0.01125933401791236
TCI,0.026331716819775884,0.013671499456720419
LST_Diff,0.02595449515626812,0.011683425738273584
LST_Night,0.02482885680261824,0.008362672956625307
PCI_GPM,0.0244876063755445,0.010625981757721208
TCI_Day,0.02412137137337279,0.00757286232458777
LST_Day,0.02393171344235926,0.008362513068266443
LST,0.019962379490767936,0.012805335689190482
TCI_Night,0.01912732301318546,0.01028835783430383
VHI,0.01273733658236278,0.009364634908693548
EVI,0.007798446378301116,0.011240300197501368
lon,0.007632142544333642,0.010827479749706836
CI_GPM,0.00081613000724291,0.007302505571532362
NDVI,0.0,0.0
month_sin,0.0,0.0
VCI,0.0,0.0
year,0.0,0.0
SPEI_1_Class,0.0,0.0
month,0.0,0.0
VHI_Night,-0.001548011088637269,0.007806494267924143
