,precision,recall,f1-score,support
ED,0.21052631578947367,0.3076923076923077,0.25,13.0
EW,0.0,0.0,0.0,4.0
MD,0.3194444444444444,0.359375,0.3382352941176471,64.0
MW,0.42105263157894735,0.375,0.39669421487603307,64.0
NN,0.8176795580110497,0.7728459530026109,0.7946308724832215,383.0
SD,0.32558139534883723,0.3783783783783784,0.35,37.0
VW,0.3225806451612903,0.4,0.35714285714285715,25.0
accuracy,0.6288135593220339,0.6288135593220339,0.6288135593220339,0.6288135593220339
macro avg,0.3452664271905776,0.3704702341533282,0.3552433198028227,590.0
weighted avg,0.649849073637172,0.6288135593220339,0.6381486172292217,590.0
