feature,importance_mean,importance_std
PCI_GPM,0.007817880394808907,0.007841131489846961
GPM,0.0036242642953108308,0.009131725916706862
lon,0.003453630796670304,0.00402749706649616
GPM_SPEI_1,0.0005545313364118786,0.011410471035008238
NDVI,0.0,0.0
month,0.0,0.0
VCI,0.0,0.0
SPEI_1_Class,0.0,0.0
month_sin,0.0,0.0
year,0.0,0.0
month_cos,-0.005540179013588764,0.005458147929367171
CI_GPM,-0.005715943415018932,0.00838742470112337
EVI,-0.007300878150667667,0.005883808243408246
station_elevation,-0.008855567836462519,0.003908665495059143
lat,-0.00927940681677395,0.00296320764993182
LST_Diff,-0.010018872604213335,0.00574935864434562
MOD16A2GF,-0.011702097845603865,0.0061648481091245745
LST_Night,-0.01215157486800269,0.006483110103852136
LST,-0.012913140140841906,0.005296895415891983
VHI_Day,-0.01315434633335184,0.006434043904391062
LST_Day,-0.013329403927010075,0.003478295217155353
VHI_Night,-0.013974073356117,0.0037543327411373602
VHI,-0.01516318660044048,0.008253027675650448
TCI_Day,-0.016427803490339,0.008709543385041207
TCI_Night,-0.016690666092340534,0.00542971263187869
TCI,-0.02070694703100747,0.005977398772542544
