region_id,region_name,station_name,station_id,lat,lon,station_elevation,date,rrr24,Hargreaves,SPEI_1,GPM,MOD16A2GF,NDVI,EVI,LST_Day,LST_Night,LST,PCI_GPM,VCI,TCI,TCI_Day,TCI_Night,VHI,VHI_Day,VHI_Night,CI_GPM,GPM_SPEI_1,SPEI_1_Class,GPM_SPEI_1_Class
MASA,Mazandaran,Ramsar,40732,36.9,50.68,-20.0,2006-09,274.4,88.95,1.116,105.84,145.925,0.526,0.275,6.032,5.852,5.942,0.89,0.664,0.582,0.635,0.492,0.623,0.649,0.578,0.712,1.062,MW,MW
MASA,Mazandaran,Ramsar,40732,36.9,50.68,-20.0,2006-10,285.52,63.69,0.384,118.296,103.3,0.57,0.309,5.962,5.808,5.885,0.448,0.873,0.132,0.247,0.071,0.503,0.56,0.472,0.484,-0.025,NN,NN
MASA,Mazandaran,Ramsar,40732,36.9,50.68,-20.0,2006-11,193.7,44.86,0.223,122.4,56.162,0.561,0.301,5.834,5.672,5.753,0.401,1.0,0.45,0.417,0.477,0.725,0.709,0.738,0.617,-0.122,NN,NN
MASA,Mazandaran,Ramsar,40732,36.9,50.68,-20.0,2006-12,97.11,29.97,0.171,127.224,45.55,0.497,0.26,5.692,5.536,5.614,0.626,0.899,0.981,0.956,1.0,0.94,0.927,0.949,0.835,1.016,NN,MW
MASA,Mazandaran,Ramsar,40732,36.9,50.68,-20.0,2007-01,64.52,38.24,-0.214,43.896,76.888,0.442,0.216,5.725,5.535,5.63,0.128,1.0,0.351,0.246,0.593,0.676,0.623,0.797,0.493,-1.678,NN,SD
MASA,Mazandaran,Ramsar,40732,36.9,50.68,-20.0,2007-02,117.03,36.31,0.859,111.552,72.325,0.4,0.198,5.763,5.562,5.663,0.689,0.782,0.36,0.309,0.539,0.571,0.546,0.661,0.611,0.97,NN,NN
MASA,Mazandaran,Ramsar,40732,36.9,50.68,-20.0,2007-03,108.93,49.68,0.633,137.64,95.488,0.416,0.193,5.761,5.576,5.669,1.0,0.826,0.717,0.843,0.619,0.772,0.835,0.723,0.848,0.307,NN,NN
MASA,Mazandaran,Ramsar,40732,36.9,50.68,-20.0,2007-04,123.97,68.36,1.344,150.48,147.112,0.47,0.22,5.876,5.642,5.759,0.841,0.693,0.763,0.964,0.522,0.728,0.829,0.608,0.766,1.216,MW,MW
MASA,Mazandaran,Ramsar,40732,36.9,50.68,-20.0,2007-05,26.95,107.6,-0.432,38.688,217.25,0.575,0.301,6.025,5.796,5.91,0.153,0.879,0.256,0.212,0.375,0.567,0.545,0.627,0.429,-0.608,NN,NN
MASA,Mazandaran,Ramsar,40732,36.9,50.68,-20.0,2007-06,36.54,120.22,0.047,43.2,212.775,0.591,0.334,6.066,5.874,5.97,0.699,0.816,0.402,0.544,0.262,0.609,0.68,0.539,0.639,0.854,NN,NN
MASA,Mazandaran,Ramsar,40732,36.9,50.68,-20.0,2007-07,58.0,123.4,0.821,52.08,211.812,0.615,0.37,6.101,5.921,6.011,0.548,0.737,0.508,0.593,0.457,0.622,0.665,0.597,0.597,0.874,NN,NN
MASA,Mazandaran,Ramsar,40732,36.9,50.68,-20.0,2007-08,15.83,128.02,-0.968,17.856,193.912,0.577,0.336,6.116,5.931,6.024,0.15,0.776,0.295,0.417,0.27,0.535,0.596,0.523,0.407,-0.131,NN,NN
MASA,Mazandaran,Ramsar,40732,36.9,50.68,-20.0,2007-09,183.21,97.22,0.231,74.16,146.125,0.518,0.278,6.069,5.893,5.981,0.606,0.63,0.153,0.166,0.13,0.391,0.398,0.38,0.463,0.059,NN,NN
