date,St_ID,MOD16A2GF,Region,St_Ele,St_Lat,St_Lon,St_Name,region_id
2000-01-01,40732,15.700000000000001,Mazandaran,-20.0,36.9,50.68,Ramsar,MASA
2000-01-01,40734,18.400000000000002,Mazandaran,-20.9,36.66,51.47,Nowshahr,MASA
2000-01-01,40735,19.6,Mazandaran,1855.4,36.23,51.3,Siahbisheh,MASA
2000-01-01,40736,20.200000000000003,Mazandaran,-21.0,36.7,52.64,Babolsar,MASA
2000-01-01,40737,19.400000000000002,Mazandaran,14.7,36.49,52.11,Gharakhil,MASA
2000-01-01,40759,25.3,Mazandaran,23.0,36.54,53.0,Sari,MASA
2000-01-01,40760,25.400000000000002,Mazandaran,1294.3,36.25,53.55,Kiyasar,MASA
2000-01-01,40788,22.8,Mazandaran,16.7,36.64,53.2,Sari (Dasht-E-Naz Airport),MASA
2000-01-01,99299,18.5,Mazandaran,-10.0,36.74,53.84,Galugah,MASA
2000-01-01,99306,21.200000000000003,Mazandaran,-20.0,36.86,53.39,Bandar-E-Amirabad,MASA
2000-01-01,99309,24.1,Mazandaran,23.7,36.48,52.47,Amol,MASA
2000-01-01,99348,21.3,Mazandaran,1550.0,36.39,51.73,Kojur,MASA
2000-01-01,99357,19.5,Mazandaran,2120.0,36.2,51.8,Baladeh,MASA
2000-01-01,99360,21.900000000000002,Mazandaran,610.0,36.1,53.06,Polsefid,MASA
2000-01-01,99361,22.900000000000002,Mazandaran,1805.0,36.07,52.84,Alasht,MASA
2000-01-09,40732,7.6000000000000005,Mazandaran,-20.0,36.9,50.68,Ramsar,MASA
2000-01-09,40734,7.300000000000001,Mazandaran,-20.9,36.66,51.47,Nowshahr,MASA
2000-01-09,40735,8.0,Mazandaran,1855.4,36.23,51.3,Siahbisheh,MASA
2000-01-09,40736,14.200000000000001,Mazandaran,-21.0,36.7,52.64,Babolsar,MASA
2000-01-09,40737,9.3,Mazandaran,14.7,36.49,52.11,Gharakhil,MASA
2000-01-09,40759,14.200000000000001,Mazandaran,23.0,36.54,53.0,Sari,MASA
2000-01-09,40760,13.200000000000001,Mazandaran,1294.3,36.25,53.55,Kiyasar,MASA
2000-01-09,40788,13.5,Mazandaran,16.7,36.64,53.2,Sari (Dasht-E-Naz Airport),MASA
2000-01-09,99299,11.600000000000001,Mazandaran,-10.0,36.74,53.84,Galugah,MASA
2000-01-09,99306,17.5,Mazandaran,-20.0,36.86,53.39,Bandar-E-Amirabad,MASA
2000-01-09,99309,13.5,Mazandaran,23.7,36.48,52.47,Amol,MASA
2000-01-09,99348,8.6,Mazandaran,1550.0,36.39,51.73,Kojur,MASA
2000-01-09,99357,8.3,Mazandaran,2120.0,36.2,51.8,Baladeh,MASA
2000-01-09,99360,10.9,Mazandaran,610.0,36.1,53.06,Polsefid,MASA
2000-01-09,99361,10.600000000000001,Mazandaran,1805.0,36.07,52.84,Alasht,MASA
2000-01-17,40732,19.700000000000003,Mazandaran,-20.0,36.9,50.68,Ramsar,MASA
2000-01-17,40734,17.2,Mazandaran,-20.9,36.66,51.47,Nowshahr,MASA
2000-01-17,40735,14.600000000000001,Mazandaran,1855.4,36.23,51.3,Siahbisheh,MASA
2000-01-17,40736,24.3,Mazandaran,-21.0,36.7,52.64,Babolsar,MASA
2000-01-17,40737,20.8,Mazandaran,14.7,36.49,52.11,Gharakhil,MASA
2000-01-17,40759,24.900000000000002,Mazandaran,23.0,36.54,53.0,Sari,MASA
2000-01-17,40760,21.900000000000002,Mazandaran,1294.3,36.25,53.55,Kiyasar,MASA
2000-01-17,40788,22.900000000000002,Mazandaran,16.7,36.64,53.2,Sari (Dasht-E-Naz Airport),MASA
2000-01-17,99299,18.2,Mazandaran,-10.0,36.74,53.84,Galugah,MASA
2000-01-17,99306,25.3,Mazandaran,-20.0,36.86,53.39,Bandar-E-Amirabad,MASA
2000-01-17,99309,26.3,Mazandaran,23.7,36.48,52.47,Amol,MASA
2000-01-17,99348,21.3,Mazandaran,1550.0,36.39,51.73,Kojur,MASA
2000-01-17,99357,15.200000000000001,Mazandaran,2120.0,36.2,51.8,Baladeh,MASA
2000-01-17,99360,18.2,Mazandaran,610.0,36.1,53.06,Polsefid,MASA
2000-01-17,99361,17.7,Mazandaran,1805.0,36.07,52.84,Alasht,MASA
2000-01-25,40732,18.400000000000002,Mazandaran,-20.0,36.9,50.68,Ramsar,MASA
2000-01-25,40734,17.2,Mazandaran,-20.9,36.66,51.47,Nowshahr,MASA
2000-01-25,40735,17.2,Mazandaran,1855.4,36.23,51.3,Siahbisheh,MASA
