Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,CHIRPS
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-01-01,MASA,184.31147384643555
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-01-01,MASA,117.24301719665527
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-01-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-01-01,MASA,203.03672981262207
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-01-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-01-01,MASA,59.23804569244385
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-01-01,MASA,127.94000053405762
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-01-01,MASA,132.1704502105713
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-01-01,MASA,195.24163722991943
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-01-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-01-01,MASA,109.75728607177734
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-01-01,MASA,127.67248153686523
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-01-01,MASA,99.89325332641602
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-01-01,MASA,82.94292068481445
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-01-01,MASA,201.7848834991455
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-02-01,MASA,175.9607105255127
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-02-01,MASA,94.16911840438843
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-02-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-02-01,MASA,121.05290031433105
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-02-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-02-01,MASA,63.484256744384766
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-02-01,MASA,91.50126194953918
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-02-01,MASA,110.17523002624512
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-02-01,MASA,118.52846717834473
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-02-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-02-01,MASA,130.3360676765442
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-02-01,MASA,96.15643310546875
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-02-01,MASA,86.10971975326538
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-02-01,MASA,73.56785035133362
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-02-01,MASA,114.76585149765015
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-03-01,MASA,87.23385453224182
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-03-01,MASA,36.59523558616638
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-03-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-03-01,MASA,165.5324034690857
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-03-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-03-01,MASA,36.68895483016968
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-03-01,MASA,46.09532928466797
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-03-01,MASA,32.7072811126709
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-03-01,MASA,81.67108011245728
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-03-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-03-01,MASA,65.721923828125
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-03-01,MASA,20.838913679122925
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-03-01,MASA,21.066636562347412
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-03-01,MASA,22.177639484405518
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-03-01,MASA,185.76210594177246
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-04-01,MASA,47.181678771972656
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-04-01,MASA,37.68192720413208
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-04-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-04-01,MASA,175.42801719903946
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-04-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-04-01,MASA,20.274993181228638
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-04-01,MASA,43.25675344467163
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-04-01,MASA,24.163583755493164
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-04-01,MASA,82.62713050842285
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-04-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-04-01,MASA,36.04391860961914
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-04-01,MASA,34.94945001602173
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-04-01,MASA,41.743080139160156
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-04-01,MASA,36.015249252319336
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-04-01,MASA,191.02233695983887
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-05-01,MASA,23.27439022064209
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-05-01,MASA,17.92574691772461
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-05-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-05-01,MASA,26.05215835571289
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-05-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-05-01,MASA,11.237884521484375
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-05-01,MASA,15.882503867149353
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-05-01,MASA,14.119224548339844
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-05-01,MASA,18.666345596313477
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-05-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-05-01,MASA,22.963844299316406
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-05-01,MASA,19.485384225845337
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-05-01,MASA,15.282358169555664
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-05-01,MASA,13.973361015319824
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-05-01,MASA,34.170955657958984
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-06-01,MASA,17.740384101867676
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-06-01,MASA,19.655603408813477
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-06-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-06-01,MASA,33.159335136413574
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-06-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-06-01,MASA,7.621622323989868
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-06-01,MASA,17.20103120803833
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-06-01,MASA,12.059160232543945
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-06-01,MASA,36.722217082977295
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-06-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-06-01,MASA,15.554587841033936
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-06-01,MASA,33.25522041320801
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-06-01,MASA,17.397289752960205
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-06-01,MASA,8.994737148284912
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-06-01,MASA,32.643916606903076
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-07-01,MASA,24.350890636444092
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-07-01,MASA,14.989722967147827
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-07-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-07-01,MASA,23.791569232940674
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-07-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-07-01,MASA,11.908516883850098
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-07-01,MASA,22.262632369995117
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-07-01,MASA,14.416358470916748
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-07-01,MASA,16.261391162872314
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-07-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-07-01,MASA,22.47977638244629
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-07-01,MASA,54.415921211242676
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-07-01,MASA,16.10071325302124
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-07-01,MASA,17.798726558685303
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-07-01,MASA,23.89431142807007
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-08-01,MASA,50.169522285461426
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-08-01,MASA,57.28665828704834
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-08-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-08-01,MASA,36.76102805137634
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-08-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-08-01,MASA,21.593616008758545
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-08-01,MASA,45.268741607666016
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-08-01,MASA,41.07836055755615
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-08-01,MASA,38.34683847427368
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-08-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-08-01,MASA,42.66992807388306
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-08-01,MASA,86.88322067260742
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-08-01,MASA,47.72820425033569
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-08-01,MASA,36.52991437911987
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-08-01,MASA,17.58136510848999
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-09-01,MASA,33.62858581542969
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-09-01,MASA,44.83273410797119
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-09-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-09-01,MASA,44.456456661224365
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-09-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-09-01,MASA,14.263676166534424
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-09-01,MASA,51.96899950504303
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-09-01,MASA,20.14011240005493
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-09-01,MASA,44.994653820991516
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-09-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-09-01,MASA,31.309221267700195
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-09-01,MASA,39.812490463256836
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-09-01,MASA,34.829405784606934
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-09-01,MASA,30.491858959197998
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-09-01,MASA,38.69483995437622
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-10-01,MASA,59.29581093788147
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-10-01,MASA,114.88545250892639
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-10-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-10-01,MASA,90.00903749465942
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-10-01,MASA,
