date,St_ID,Region,St_Ele,St_Lat,St_Lon,St_Name,region_id,CHIRPS
2005-01-01,40732,Mazandaran,-20.0,36.9,50.68,Ramsar,MASA,166.90731954574585
2005-01-01,40734,Mazandaran,-20.9,36.66,51.47,Nowshahr,MASA,245.41732025146484
2005-01-01,40735,Mazandaran,1855.4,36.23,51.3,Siahbisheh,MASA,244.47637367248535
2005-01-01,40736,Mazandaran,-21.0,36.7,52.64,Babolsar,MASA,233.89089743453675
2005-01-01,40737,Mazandaran,14.7,36.49,52.11,Gharakhil,MASA,247.46382904052734
2005-01-01,40759,Mazandaran,23.0,36.54,53.0,Sari,MASA,217.68468856811523
2005-01-01,40760,Mazandaran,1294.3,36.25,53.55,Kiyasar,MASA,198.39564418792725
2005-01-01,40788,Mazandaran,16.7,36.64,53.2,Sari (Dasht-E-Naz Airport),MASA,185.1475601196289
2005-01-01,99299,Mazandaran,-10.0,36.74,53.84,Galugah,MASA,127.58751916885376
2005-01-01,99306,Mazandaran,-20.0,36.86,53.39,Bandar-E-Amirabad,MASA,167.45303381936398
2005-01-01,99309,Mazandaran,23.7,36.48,52.47,Amol,MASA,239.08267736434937
2005-01-01,99348,Mazandaran,1550.0,36.39,51.73,Kojur,MASA,315.0933303833008
2005-01-01,99357,Mazandaran,2120.0,36.2,51.8,Baladeh,MASA,280.97460079193115
2005-01-01,99360,Mazandaran,610.0,36.1,53.06,Polsefid,MASA,197.59352922439575
2005-01-01,99361,Mazandaran,1805.0,36.07,52.84,Alasht,MASA,320.20130729675293
2005-02-01,40732,Mazandaran,-20.0,36.9,50.68,Ramsar,MASA,219.5337200164795
2005-02-01,40734,Mazandaran,-20.9,36.66,51.47,Nowshahr,MASA,227.40901041030884
2005-02-01,40735,Mazandaran,1855.4,36.23,51.3,Siahbisheh,MASA,201.53593063354492
2005-02-01,40736,Mazandaran,-21.0,36.7,52.64,Babolsar,MASA,189.8970558336466
2005-02-01,40737,Mazandaran,14.7,36.49,52.11,Gharakhil,MASA,258.2484164237976
2005-02-01,40759,Mazandaran,23.0,36.54,53.0,Sari,MASA,162.8271598815918
2005-02-01,40760,Mazandaran,1294.3,36.25,53.55,Kiyasar,MASA,97.28847980499268
2005-02-01,40788,Mazandaran,16.7,36.64,53.2,Sari (Dasht-E-Naz Airport),MASA,113.8852744102478
2005-02-01,99299,Mazandaran,-10.0,36.74,53.84,Galugah,MASA,71.55926418304443
2005-02-01,99306,Mazandaran,-20.0,36.86,53.39,Bandar-E-Amirabad,MASA,87.8507189475043
2005-02-01,99309,Mazandaran,23.7,36.48,52.47,Amol,MASA,227.10223388671875
2005-02-01,99348,Mazandaran,1550.0,36.39,51.73,Kojur,MASA,267.4381790161133
2005-02-01,99357,Mazandaran,2120.0,36.2,51.8,Baladeh,MASA,234.58587074279785
2005-02-01,99360,Mazandaran,610.0,36.1,53.06,Polsefid,MASA,195.3476219177246
2005-02-01,99361,Mazandaran,1805.0,36.07,52.84,Alasht,MASA,283.95262145996094
2005-03-01,40732,Mazandaran,-20.0,36.9,50.68,Ramsar,MASA,239.053138256073
2005-03-01,40734,Mazandaran,-20.9,36.66,51.47,Nowshahr,MASA,192.64219188690186
2005-03-01,40735,Mazandaran,1855.4,36.23,51.3,Siahbisheh,MASA,502.7602882385254
2005-03-01,40736,Mazandaran,-21.0,36.7,52.64,Babolsar,MASA,134.1134790725047
2005-03-01,40737,Mazandaran,14.7,36.49,52.11,Gharakhil,MASA,184.08283710479736
2005-03-01,40759,Mazandaran,23.0,36.54,53.0,Sari,MASA,110.487868309021
2005-03-01,40760,Mazandaran,1294.3,36.25,53.55,Kiyasar,MASA,70.85077929496765
2005-03-01,40788,Mazandaran,16.7,36.64,53.2,Sari (Dasht-E-Naz Airport),MASA,84.66823196411133
2005-03-01,99299,Mazandaran,-10.0,36.74,53.84,Galugah,MASA,68.80881905555725
2005-03-01,99306,Mazandaran,-20.0,36.86,53.39,Bandar-E-Amirabad,MASA,82.96433747159261
2005-03-01,99309,Mazandaran,23.7,36.48,52.47,Amol,MASA,152.89678955078125
2005-03-01,99348,Mazandaran,1550.0,36.39,51.73,Kojur,MASA,291.39018392562866
2005-03-01,99357,Mazandaran,2120.0,36.2,51.8,Baladeh,MASA,415.720139503479
2005-03-01,99360,Mazandaran,610.0,36.1,53.06,Polsefid,MASA,183.1639051437378
2005-03-01,99361,Mazandaran,1805.0,36.07,52.84,Alasht,MASA,343.80234146118164
2005-04-01,40732,Mazandaran,-20.0,36.9,50.68,Ramsar,MASA,34.74645161628723
2005-04-01,40734,Mazandaran,-20.9,36.66,51.47,Nowshahr,MASA,51.150634765625
2005-04-01,40735,Mazandaran,1855.4,36.23,51.3,Siahbisheh,MASA,133.7549114227295
2005-04-01,40736,Mazandaran,-21.0,36.7,52.64,Babolsar,MASA,28.75886595160655
2005-04-01,40737,Mazandaran,14.7,36.49,52.11,Gharakhil,MASA,55.36994791030884
2005-04-01,40759,Mazandaran,23.0,36.54,53.0,Sari,MASA,43.53227949142456
2005-04-01,40760,Mazandaran,1294.3,36.25,53.55,Kiyasar,MASA,22.94087529182434
2005-04-01,40788,Mazandaran,16.7,36.64,53.2,Sari (Dasht-E-Naz Airport),MASA,31.925293922424316
2005-04-01,99299,Mazandaran,-10.0,36.74,53.84,Galugah,MASA,12.572707056999207
2005-04-01,99306,Mazandaran,-20.0,36.86,53.39,Bandar-E-Amirabad,MASA,21.35038183741487
2005-04-01,99309,Mazandaran,23.7,36.48,52.47,Amol,MASA,47.796854734420776
2005-04-01,99348,Mazandaran,1550.0,36.39,51.73,Kojur,MASA,76.75087356567383
2005-04-01,99357,Mazandaran,2120.0,36.2,51.8,Baladeh,MASA,142.16284561157227
2005-04-01,99360,Mazandaran,610.0,36.1,53.06,Polsefid,MASA,38.56481170654297
2005-04-01,99361,Mazandaran,1805.0,36.07,52.84,Alasht,MASA,52.97667598724365
2005-05-01,40732,Mazandaran,-20.0,36.9,50.68,Ramsar,MASA,65.07396864891052
2005-05-01,40734,Mazandaran,-20.9,36.66,51.47,Nowshahr,MASA,42.37759357690811
2005-05-01,40735,Mazandaran,1855.4,36.23,51.3,Siahbisheh,MASA,43.28961604833603
2005-05-01,40736,Mazandaran,-21.0,36.7,52.64,Babolsar,MASA,29.50800008924291
2005-05-01,40737,Mazandaran,14.7,36.49,52.11,Gharakhil,MASA,33.11469542980194
2005-05-01,40759,Mazandaran,23.0,36.54,53.0,Sari,MASA,36.649248123168945
2005-05-01,40760,Mazandaran,1294.3,36.25,53.55,Kiyasar,MASA,40.19764530658722
2005-05-01,40788,Mazandaran,16.7,36.64,53.2,Sari (Dasht-E-Naz Airport),MASA,30.196973264217377
2005-05-01,99299,Mazandaran,-10.0,36.74,53.84,Galugah,MASA,23.908371925354004
2005-05-01,99306,Mazandaran,-20.0,36.86,53.39,Bandar-E-Amirabad,MASA,26.535057984335573
2005-05-01,99309,Mazandaran,23.7,36.48,52.47,Amol,MASA,35.14821004867554
2005-05-01,99348,Mazandaran,1550.0,36.39,51.73,Kojur,MASA,35.43179774284363
2005-05-01,99357,Mazandaran,2120.0,36.2,51.8,Baladeh,MASA,38.14431715011597
2005-05-01,99360,Mazandaran,610.0,36.1,53.06,Polsefid,MASA,54.92862510681152
2005-05-01,99361,Mazandaran,1805.0,36.07,52.84,Alasht,MASA,55.67767691612244
2005-06-01,40732,Mazandaran,-20.0,36.9,50.68,Ramsar,MASA,64.06721925735474
2005-06-01,40734,Mazandaran,-20.9,36.66,51.47,Nowshahr,MASA,36.46673536300659
2005-06-01,40735,Mazandaran,1855.4,36.23,51.3,Siahbisheh,MASA,60.113855838775635
2005-06-01,40736,Mazandaran,-21.0,36.7,52.64,Babolsar,MASA,38.28511708443708
2005-06-01,40737,Mazandaran,14.7,36.49,52.11,Gharakhil,MASA,33.609007835388184
2005-06-01,40759,Mazandaran,23.0,36.54,53.0,Sari,MASA,35.11768817901611
2005-06-01,40760,Mazandaran,1294.3,36.25,53.55,Kiyasar,MASA,18.927510261535645
2005-06-01,40788,Mazandaran,16.7,36.64,53.2,Sari (Dasht-E-Naz Airport),MASA,16.551613330841064
2005-06-01,99299,Mazandaran,-10.0,36.74,53.84,Galugah,MASA,12.251803874969482
2005-06-01,99306,Mazandaran,-20.0,36.86,53.39,Bandar-E-Amirabad,MASA,12.564926271493723
2005-06-01,99309,Mazandaran,23.7,36.48,52.47,Amol,MASA,41.95490121841431
2005-06-01,99348,Mazandaran,1550.0,36.39,51.73,Kojur,MASA,68.8427357673645
2005-06-01,99357,Mazandaran,2120.0,36.2,51.8,Baladeh,MASA,61.011104583740234
2005-06-01,99360,Mazandaran,610.0,36.1,53.06,Polsefid,MASA,26.965932369232178
2005-06-01,99361,Mazandaran,1805.0,36.07,52.84,Alasht,MASA,33.22955894470215
2005-07-01,40732,Mazandaran,-20.0,36.9,50.68,Ramsar,MASA,20.081730842590332
2005-07-01,40734,Mazandaran,-20.9,36.66,51.47,Nowshahr,MASA,8.359573125839233
2005-07-01,40735,Mazandaran,1855.4,36.23,51.3,Siahbisheh,MASA,15.373610019683838
2005-07-01,40736,Mazandaran,-21.0,36.7,52.64,Babolsar,MASA,11.93824418169437
2005-07-01,40737,Mazandaran,14.7,36.49,52.11,Gharakhil,MASA,14.473420143127441
