Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,ERA5
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-01-01,MASA,69.6623547496138
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-01-01,MASA,124.00358156579117
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-01-01,MASA,80.76775805371383
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-01-01,MASA,78.33889858143905
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-01-01,MASA,68.37198869603256
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-01-01,MASA,81.27466575520614
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-01-01,MASA,154.4527782620726
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-01-01,MASA,82.07248882668594
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-01-01,MASA,91.93085865395645
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-01-01,MASA,223.71719018834213
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-01-01,MASA,71.5636535109816
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-01-01,MASA,282.24638835805035
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-01-01,MASA,95.66689268963913
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-01-01,MASA,84.41311852353195
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-01-01,MASA,108.11316208260635
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-02-01,MASA,77.21189710362708
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-02-01,MASA,89.2762348340348
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-02-01,MASA,61.75472888215339
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-02-01,MASA,64.46338745816504
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-02-01,MASA,81.91838416322028
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-02-01,MASA,87.59687396748816
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-02-01,MASA,97.58033904298102
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-02-01,MASA,91.33506867154395
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-02-01,MASA,61.611230699856634
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-02-01,MASA,139.650549022992
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-02-01,MASA,79.70520409806525
