Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,PERSIANN_CDR
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1983-01-01,MASA,35.141923666000366
Mazandaran,23.7,99309,36.48,52.47,Amol,1983-01-01,MASA,28.66469168663025
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1983-01-01,MASA,45.7118194103241
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1983-01-01,MASA,41.89796233177185
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1983-01-01,MASA,45.67851746082306
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1983-01-01,MASA,48.70281207561493
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1983-01-01,MASA,34.51913893222809
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1983-01-01,MASA,51.50140309333801
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1983-01-01,MASA,42.45688045024872
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1983-01-01,MASA,55.75636899471283
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1983-01-01,MASA,26.696314811706543
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1983-01-01,MASA,56.43081212043762
Mazandaran,23.0,40759,36.54,53.0,Sari,1983-01-01,MASA,44.18930912017822
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1983-01-01,MASA,44.18930912017822
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1983-01-01,MASA,38.81672561168671
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1983-02-01,MASA,20.406686544418335
Mazandaran,23.7,99309,36.48,52.47,Amol,1983-02-01,MASA,43.906733751297
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1983-02-01,MASA,31.78936219215393
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1983-02-01,MASA,20.837402820587158
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1983-02-01,MASA,30.74264669418335
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1983-02-01,MASA,30.307438373565674
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1983-02-01,MASA,31.725152730941772
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1983-02-01,MASA,36.94196140766144
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1983-02-01,MASA,20.931040048599243
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1983-02-01,MASA,32.12322533130646
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1983-02-01,MASA,11.129780054092407
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1983-02-01,MASA,33.853273153305054
Mazandaran,23.0,40759,36.54,53.0,Sari,1983-02-01,MASA,25.638399839401245
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1983-02-01,MASA,25.638399839401245
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1983-02-01,MASA,23.202686190605164
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1983-03-01,MASA,48.4792218208313
Mazandaran,23.7,99309,36.48,52.47,Amol,1983-03-01,MASA,42.70311403274536
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1983-03-01,MASA,50.73294162750244
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1983-03-01,MASA,50.0207554101944
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1983-03-01,MASA,32.92128670215607
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1983-03-01,MASA,29.278640508651733
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1983-03-01,MASA,51.42163801193237
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1983-03-01,MASA,26.294923901557922
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1983-03-01,MASA,41.693782806396484
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1983-03-01,MASA,46.782511830329895
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1983-03-01,MASA,40.643800020217896
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1983-03-01,MASA,33.98875081539154
Mazandaran,23.0,40759,36.54,53.0,Sari,1983-03-01,MASA,34.150336503982544
