Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,TRMM
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1998-01-01,MASA,103.7875839471817
Mazandaran,23.7,99309,36.48,52.47,Amol,1998-01-01,MASA,137.65128779411316
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1998-01-01,MASA,130.70239198207855
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1998-01-01,MASA,145.04677963256836
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1998-01-01,MASA,88.31914526224136
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1998-01-01,MASA,84.145945250988
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1998-01-01,MASA,147.09258699417114
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1998-01-01,MASA,88.09178960323334
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1998-01-01,MASA,176.6529357433319
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1998-01-01,MASA,185.40840411186218
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1998-01-01,MASA,95.48232579231262
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1998-01-01,MASA,135.60856246948242
Mazandaran,23.0,40759,36.54,53.0,Sari,1998-01-01,MASA,119.62793469429016
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1998-01-01,MASA,109.77830994129181
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1998-01-01,MASA,150.41263926029205
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1998-02-01,MASA,52.583242893218994
Mazandaran,23.7,99309,36.48,52.47,Amol,1998-02-01,MASA,59.03291988372803
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1998-02-01,MASA,50.84912610054016
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1998-02-01,MASA,88.12817859649658
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1998-02-01,MASA,53.96859669685364
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1998-02-01,MASA,55.861183404922485
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1998-02-01,MASA,68.67795038223267
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1998-02-01,MASA,62.473145484924316
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1998-02-01,MASA,105.9026141166687
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1998-02-01,MASA,124.76409387588501
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1998-02-01,MASA,63.221320152282715
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1998-02-01,MASA,155.91201639175415
Mazandaran,23.0,40759,36.54,53.0,Sari,1998-02-01,MASA,50.192049980163574
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1998-02-01,MASA,61.279306411743164
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1998-02-01,MASA,100.99179410934448
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1998-03-01,MASA,34.594077318906784
Mazandaran,23.7,99309,36.48,52.47,Amol,1998-03-01,MASA,37.39251700043678
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1998-03-01,MASA,30.47544488310814
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1998-03-01,MASA,59.32901215553284
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1998-03-01,MASA,33.73826050758362
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1998-03-01,MASA,40.93618878722191
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1998-03-01,MASA,43.654886305332184
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1998-03-01,MASA,41.43780693411827
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1998-03-01,MASA,61.97788989543915
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1998-03-01,MASA,66.69625014066696
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1998-03-01,MASA,42.44693014025688
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1998-03-01,MASA,84.64424300193787
Mazandaran,23.0,40759,36.54,53.0,Sari,1998-03-01,MASA,30.37963566184044
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1998-03-01,MASA,38.746831119060516
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1998-03-01,MASA,72.17065733671188
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1998-04-01,MASA,74.02078807353973
Mazandaran,23.7,99309,36.48,52.47,Amol,1998-04-01,MASA,94.17710065841675
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1998-04-01,MASA,92.102530002594
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1998-04-01,MASA,86.18591487407684
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1998-04-01,MASA,64.07050609588623
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1998-04-01,MASA,63.560773730278015
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1998-04-01,MASA,95.84525227546692
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1998-04-01,MASA,66.6753226518631
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1998-04-01,MASA,95.58495998382568
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1998-04-01,MASA,100.22943019866943
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1998-04-01,MASA,67.54547953605652
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1998-04-01,MASA,94.2725658416748
Mazandaran,23.0,40759,36.54,53.0,Sari,1998-04-01,MASA,83.77200186252594
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1998-04-01,MASA,77.05604553222656
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1998-04-01,MASA,91.40850305557251
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1998-05-01,MASA,26.19631925225258
Mazandaran,23.7,99309,36.48,52.47,Amol,1998-05-01,MASA,30.74721845984459
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1998-05-01,MASA,26.80256313085556
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1998-05-01,MASA,51.64281105995178
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1998-05-01,MASA,26.65859153866768
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1998-05-01,MASA,33.08085536956787
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1998-05-01,MASA,36.68270614743233
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1998-05-01,MASA,32.69070330262184
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1998-05-01,MASA,57.70281636714935
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1998-05-01,MASA,61.8594143986702
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1998-05-01,MASA,30.98939949274063
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1998-05-01,MASA,57.581580340862274
Mazandaran,23.0,40759,36.54,53.0,Sari,1998-05-01,MASA,26.193797081708908
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1998-05-01,MASA,32.35735550522804
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1998-05-01,MASA,60.86773020029068
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1998-06-01,MASA,21.66916698217392
Mazandaran,23.7,99309,36.48,52.47,Amol,1998-06-01,MASA,28.146908283233643
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1998-06-01,MASA,28.423940241336823
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1998-06-01,MASA,14.973244071006775
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1998-06-01,MASA,16.585734486579895
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1998-06-01,MASA,19.272695034742355
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1998-06-01,MASA,24.704421758651733
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1998-06-01,MASA,19.978919327259064
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1998-06-01,MASA,14.12984624505043
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1998-06-01,MASA,14.559718519449234
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1998-06-01,MASA,19.186852276325226
