Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,TerraClimate
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-01-01,MASA,37
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-01-01,MASA,105
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-01-01,MASA,102
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-01-01,MASA,30
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-01-01,MASA,56
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-01-01,MASA,51
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-01-01,MASA,107
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-01-01,MASA,30
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-01-01,MASA,42
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-01-01,MASA,122
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-01-01,MASA,53
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-01-01,MASA,103
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-01-01,MASA,79
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-01-01,MASA,70
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-01-01,MASA,35
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-02-01,MASA,62
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-02-01,MASA,121
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-02-01,MASA,123
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-02-01,MASA,45
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-02-01,MASA,92
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-02-01,MASA,100
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-02-01,MASA,114
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-02-01,MASA,65
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-02-01,MASA,53
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-02-01,MASA,114
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-02-01,MASA,84
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-02-01,MASA,86
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-02-01,MASA,113
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-02-01,MASA,107
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-02-01,MASA,46
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-03-01,MASA,32
Mazandaran,23.7,99309,36.48,52.47,Amol,1980-03-01,MASA,51
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1980-03-01,MASA,48
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1980-03-01,MASA,39
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1980-03-01,MASA,33
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1980-03-01,MASA,36
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1980-03-01,MASA,58
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1980-03-01,MASA,28
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1980-03-01,MASA,46
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1980-03-01,MASA,78
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1980-03-01,MASA,33
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1980-03-01,MASA,89
Mazandaran,23.0,40759,36.54,53.0,Sari,1980-03-01,MASA,40
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1980-03-01,MASA,38
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1980-03-01,MASA,52
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1980-04-01,MASA,14
