Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,EVI_Aqua_MYD13A3
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-07-01,MASA,0.2149
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-07-01,MASA,0.5628000000000001
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-07-01,MASA,0.1708
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-07-01,MASA,0.1369
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-07-01,MASA,0.058800000000000005
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-07-01,MASA,0.2497
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-07-01,MASA,0.45580000000000004
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-07-01,MASA,0.113
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-07-01,MASA,0.19140000000000001
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-07-01,MASA,0.2917
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-07-01,MASA,0.32580000000000003
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-07-01,MASA,0.36160000000000003
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-07-01,MASA,0.4232
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-07-01,MASA,0.3378
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-07-01,MASA,0.3115
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-08-01,MASA,0.151
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-08-01,MASA,0.4721
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-08-01,MASA,0.1398
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-08-01,MASA,0.1207
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-08-01,MASA,0.0623
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-08-01,MASA,0.2086
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-08-01,MASA,0.399
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-08-01,MASA,0.1129
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-08-01,MASA,0.2752
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-08-01,MASA,0.2674
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-08-01,MASA,0.3246
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-08-01,MASA,0.28250000000000003
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-08-01,MASA,0.33380000000000004
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-08-01,MASA,0.38530000000000003
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-08-01,MASA,0.2841
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-09-01,MASA,0.1505
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-09-01,MASA,0.3173
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-09-01,MASA,0.1437
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-09-01,MASA,0.12510000000000002
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-09-01,MASA,0.0623
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-09-01,MASA,0.25420000000000004
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-09-01,MASA,0.27540000000000003
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-09-01,MASA,0.10250000000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-09-01,MASA,0.2199
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-09-01,MASA,0.261
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-09-01,MASA,0.2351
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-09-01,MASA,0.25420000000000004
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-09-01,MASA,0.2504
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-09-01,MASA,0.2343
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-09-01,MASA,0.2084
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-10-01,MASA,0.1312
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-10-01,MASA,0.28
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-10-01,MASA,0.1361
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-10-01,MASA,0.1046
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-10-01,MASA,0.049
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-10-01,MASA,0.203
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-10-01,MASA,0.2712
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-10-01,MASA,0.09050000000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-10-01,MASA,0.1723
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-10-01,MASA,0.2555
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-10-01,MASA,0.18050000000000002
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-10-01,MASA,0.2514
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-10-01,MASA,0.2265
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-10-01,MASA,0.2089
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-10-01,MASA,0.12100000000000001
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-11-01,MASA,0.1233
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-11-01,MASA,0.2313
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-11-01,MASA,0.135
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-11-01,MASA,0.0901
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-11-01,MASA,-0.024300000000000002
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-11-01,MASA,0.1746
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-11-01,MASA,0.2306
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-11-01,MASA,0.09380000000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-11-01,MASA,0.1327
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-11-01,MASA,0.1459
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-11-01,MASA,0.17170000000000002
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-11-01,MASA,0.2561
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-11-01,MASA,0.2371
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-11-01,MASA,0.23020000000000002
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-11-01,MASA,0.081
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-12-01,MASA,0.11330000000000001
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-12-01,MASA,0.19
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-12-01,MASA,0.12040000000000001
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-12-01,MASA,0.1115
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-12-01,MASA,-0.0397
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-12-01,MASA,0.1688
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-12-01,MASA,0.21430000000000002
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-12-01,MASA,0.0926
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-12-01,MASA,0.12090000000000001
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-12-01,MASA,0.24480000000000002
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-12-01,MASA,0.15710000000000002
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-12-01,MASA,0.23140000000000002
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-12-01,MASA,0.21300000000000002
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-12-01,MASA,0.21880000000000002
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-12-01,MASA,-0.0328
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-01-01,MASA,0.1047
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-01-01,MASA,0.18630000000000002
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-01-01,MASA,0.08800000000000001
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-01-01,MASA,0.0152
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-01-01,MASA,0.028800000000000003
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-01-01,MASA,0.1819
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-01-01,MASA,0.1897
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-01-01,MASA,0.092
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-01-01,MASA,0.1014
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-01-01,MASA,0.1701
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-01-01,MASA,0.10540000000000001
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-01-01,MASA,0.19410000000000002
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-01-01,MASA,0.20950000000000002
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-01-01,MASA,0.19720000000000001
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-01-01,MASA,-0.0036000000000000003
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-02-01,MASA,0.1121
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-02-01,MASA,0.1773
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-02-01,MASA,0.10350000000000001
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-02-01,MASA,0.0115
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-02-01,MASA,0.028800000000000003
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-02-01,MASA,0.2654
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-02-01,MASA,0.1767
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-02-01,MASA,0.1116
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-02-01,MASA,0.11380000000000001
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-02-01,MASA,0.17
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-02-01,MASA,0.12050000000000001
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-02-01,MASA,0.1995
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-02-01,MASA,0.2306
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-02-01,MASA,0.231
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-02-01,MASA,0.046
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-03-01,MASA,0.1259
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-03-01,MASA,0.18510000000000001
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-03-01,MASA,0.10650000000000001
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-03-01,MASA,0.0819
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-03-01,MASA,-0.023200000000000002
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-03-01,MASA,0.33640000000000003
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-03-01,MASA,0.1665
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-03-01,MASA,0.1641
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-03-01,MASA,0.1216
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-03-01,MASA,0.156
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-03-01,MASA,0.1522
