Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,EVI_Terra_MOD13A3
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-02-01,MASA,0.1194
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-02-01,MASA,0.0448
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-02-01,MASA,-0.0105
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-02-01,MASA,-0.0081
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-02-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-02-01,MASA,0.2801
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-02-01,MASA,0.11280000000000001
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-02-01,MASA,0.0002
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-02-01,MASA,0.12300000000000001
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-02-01,MASA,0.1509
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-02-01,MASA,0.1782
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-02-01,MASA,0.1428
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-02-01,MASA,0.0512
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-02-01,MASA,0.0487
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-02-01,MASA,0.0117
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-03-01,MASA,0.1371
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-03-01,MASA,0.1621
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-03-01,MASA,0.14800000000000002
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-03-01,MASA,0.0695
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-03-01,MASA,-0.0137
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-03-01,MASA,0.2758
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-03-01,MASA,0.138
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-03-01,MASA,0.1105
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-03-01,MASA,0.1542
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-03-01,MASA,0.1241
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-03-01,MASA,0.1889
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-03-01,MASA,0.1338
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-03-01,MASA,0.17470000000000002
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-03-01,MASA,0.2494
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-03-01,MASA,0.101
