Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,LST_Day_Aqua_MYD21C3
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-07-01,MASA,6.203600000000001
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-07-01,MASA,6.0696
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-07-01,MASA,6.162000000000001
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-07-01,MASA,6.2232
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-07-01,MASA,6.166
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-07-01,MASA,6.2104
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-07-01,MASA,6.091200000000001
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-07-01,MASA,6.2336
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-07-01,MASA,6.2384
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-07-01,MASA,6.074400000000001
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-07-01,MASA,6.08
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-07-01,MASA,6.1328
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-07-01,MASA,6.222799999999999
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-07-01,MASA,6.3424000000000005
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-07-01,MASA,6.2064
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-08-01,MASA,6.1936
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-08-01,MASA,6.0856
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-08-01,MASA,6.216
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-08-01,MASA,6.3128
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-08-01,MASA,6.1728
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-08-01,MASA,6.1272
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-08-01,MASA,6.080800000000001
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-08-01,MASA,6.212000000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-08-01,MASA,6.2404
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-08-01,MASA,6.0848
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-08-01,MASA,6.054
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-08-01,MASA,6.1404
