Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,LST_Day_Terra_MOD21C3
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-02-01,MASA,5.4748
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-02-01,MASA,
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-02-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-02-01,MASA,5.4488
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-02-01,MASA,5.6936
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-02-01,MASA,5.7948
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-02-01,MASA,
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-02-01,MASA,5.6676
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-02-01,MASA,5.644
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-02-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-02-01,MASA,5.728400000000001
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-02-01,MASA,
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-02-01,MASA,
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-02-01,MASA,
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-02-01,MASA,5.5536
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-02-24,MASA,5.4748
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-02-24,MASA,
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-02-24,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-02-24,MASA,5.4488
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-02-24,MASA,5.6936
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-02-24,MASA,5.7948
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-02-24,MASA,
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-02-24,MASA,5.6676
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-02-24,MASA,5.644
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-02-24,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-02-24,MASA,5.728400000000001
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-02-24,MASA,
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-02-24,MASA,
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-02-24,MASA,
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-02-24,MASA,5.5536
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-03-01,MASA,5.5564
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-03-01,MASA,5.8504
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-03-01,MASA,5.7724
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-03-01,MASA,5.766800000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-03-01,MASA,5.694400000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-03-01,MASA,5.8420000000000005
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-03-01,MASA,5.8508000000000004
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-03-01,MASA,5.845600000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-03-01,MASA,5.926800000000001
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-03-01,MASA,5.6812000000000005
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-03-01,MASA,5.8476
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-03-01,MASA,5.824400000000001
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-03-01,MASA,5.8596
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-03-01,MASA,5.8504
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-03-01,MASA,5.692
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-04-01,MASA,5.9716
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-04-01,MASA,6.0048
