Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,LST_Night_Aqua_MYD21C3
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-07-01,MASA,5.6732000000000005
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-07-01,MASA,5.9416
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-07-01,MASA,5.99
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-07-01,MASA,5.669600000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-07-01,MASA,6.0264
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-07-01,MASA,5.944
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-07-01,MASA,5.9276
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-07-01,MASA,5.800800000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-07-01,MASA,5.7452
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-07-01,MASA,5.9512
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-07-01,MASA,5.852
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-07-01,MASA,5.9304
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-07-01,MASA,5.9408
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-07-01,MASA,5.93
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-07-01,MASA,5.7408
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-08-01,MASA,5.6815999999999995
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-08-01,MASA,5.8624
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-08-01,MASA,5.9516
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-08-01,MASA,5.6836
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-08-01,MASA,6.0524000000000004
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-08-01,MASA,5.914
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-08-01,MASA,5.886800000000001
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-08-01,MASA,5.774400000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-08-01,MASA,5.736000000000001
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-08-01,MASA,5.9952
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-08-01,MASA,5.776000000000001
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-08-01,MASA,5.8751999999999995
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-08-01,MASA,5.892
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-08-01,MASA,5.896
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-08-01,MASA,5.706
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-09-01,MASA,5.653200000000001
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-09-01,MASA,5.8164
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-09-01,MASA,5.903200000000001
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-09-01,MASA,5.6212
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-09-01,MASA,6.009600000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-09-01,MASA,5.8716
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-09-01,MASA,5.8128
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-09-01,MASA,5.7303999999999995
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-09-01,MASA,5.6764
