Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,NDVI_Aqua_MYD13A3
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-07-01,MASA,0.4595
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-07-01,MASA,0.7722
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-07-01,MASA,0.3317
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-07-01,MASA,0.2391
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-07-01,MASA,0.17900000000000002
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-07-01,MASA,0.3738
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-07-01,MASA,0.6731
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-07-01,MASA,0.1738
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-07-01,MASA,0.2711
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-07-01,MASA,0.5522
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-07-01,MASA,0.5860000000000001
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-07-01,MASA,0.5604
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-07-01,MASA,0.6274000000000001
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-07-01,MASA,0.5337000000000001
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-07-01,MASA,0.46530000000000005
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-08-01,MASA,0.29500000000000004
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-08-01,MASA,0.6542
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-08-01,MASA,0.2627
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-08-01,MASA,0.1865
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-08-01,MASA,0.1772
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-08-01,MASA,0.4164
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-08-01,MASA,0.6283000000000001
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-08-01,MASA,0.1754
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-08-01,MASA,0.38770000000000004
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-08-01,MASA,0.5204
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-08-01,MASA,0.5081
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-08-01,MASA,0.5989
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-08-01,MASA,0.5367000000000001
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-08-01,MASA,0.5780000000000001
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-08-01,MASA,0.5535
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-09-01,MASA,0.3436
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-09-01,MASA,0.4772
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-09-01,MASA,0.2589
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-09-01,MASA,0.19460000000000002
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-09-01,MASA,0.1772
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-09-01,MASA,0.4176
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-09-01,MASA,0.46140000000000003
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-09-01,MASA,0.161
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-09-01,MASA,0.327
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-09-01,MASA,0.5625
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-09-01,MASA,0.4671
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-09-01,MASA,0.5718
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-09-01,MASA,0.4187
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-09-01,MASA,0.37270000000000003
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-09-01,MASA,0.4565
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-10-01,MASA,0.2726
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-10-01,MASA,0.444
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-10-01,MASA,0.27440000000000003
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-10-01,MASA,0.1872
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-10-01,MASA,0.15460000000000002
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-10-01,MASA,0.3307
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-10-01,MASA,0.4625
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-10-01,MASA,0.1567
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-10-01,MASA,0.2666
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-10-01,MASA,0.5589000000000001
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-10-01,MASA,0.33690000000000003
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-10-01,MASA,0.506
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-10-01,MASA,0.387
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2002-10-01,MASA,0.34490000000000004
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2002-10-01,MASA,0.35400000000000004
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2002-11-01,MASA,0.2772
Mazandaran,23.7,99309,36.48,52.47,Amol,2002-11-01,MASA,0.40440000000000004
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2002-11-01,MASA,0.2666
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2002-11-01,MASA,0.17950000000000002
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2002-11-01,MASA,-0.13520000000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2002-11-01,MASA,0.3042
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2002-11-01,MASA,0.3982
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2002-11-01,MASA,0.1734
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2002-11-01,MASA,0.2316
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2002-11-01,MASA,0.45580000000000004
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2002-11-01,MASA,0.3642
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2002-11-01,MASA,0.5083
Mazandaran,23.0,40759,36.54,53.0,Sari,2002-11-01,MASA,0.42160000000000003
