Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,NDVI_Terra_MOD13A3
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-02-01,MASA,0.2218
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-02-01,MASA,0.0489
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-02-01,MASA,-0.0118
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-02-01,MASA,-0.011300000000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-02-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-02-01,MASA,0.48350000000000004
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-02-01,MASA,0.2861
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-02-01,MASA,0.0002
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-02-01,MASA,0.2177
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-02-01,MASA,0.30960000000000004
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-02-01,MASA,0.3778
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-02-01,MASA,0.37120000000000003
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-02-01,MASA,0.0659
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-02-01,MASA,0.0551
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-02-01,MASA,0.0213
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-03-01,MASA,0.2558
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-03-01,MASA,0.3264
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-03-01,MASA,0.2565
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-03-01,MASA,0.1091
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-03-01,MASA,-0.0567
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-03-01,MASA,0.4597
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-03-01,MASA,0.3047
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-03-01,MASA,0.19060000000000002
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-03-01,MASA,0.24000000000000002
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-03-01,MASA,0.3093
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-03-01,MASA,0.3658
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-03-01,MASA,0.3079
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-03-01,MASA,0.3593
